,Title,Story,Clusters,Actual Clusters,Right(0)/Wrong(1)
0,fed offici say weak data caus weather slow taper,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
1,fed charl plosser see high bar chang pace taper,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
2,us open stock fall fed offici hint acceler taper,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
3,fed risk fall behind curv charl plosser say,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
4,fed plosser nasti weather curb job growth,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
5,plosser fed may acceler taper pace,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
6,fed plosser taper pace may slow,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
7,fed plosser expect us unemploy fall end,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
8,us job growth last month hit weather fed presid charl plosser,ddUyU0VZz0BRneMioxUPQVP6sIxvM,14,14,1
9,ecb unlik end sterilis smp purchas trader,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
10,ecb unlik end steril smp purchas trader,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
11,eu half bake bank union could work,dPhGU51DcrolUIMxbRm0InaHGA2XM,10,20,0
12,europ reach crunch point bank union,dPhGU51DcrolUIMxbRm0InaHGA2XM,10,20,0
13,ecb focu stronger euro drown ecb messag keep rate low,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
14,eu aim deal tackl fail bank,dPhGU51DcrolUIMxbRm0InaHGA2XM,10,20,0
15,forex pound drop one month low euro,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
16,noyer say strong euro creat unwarr econom pressur,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
17,eu week ahead march bank resolut transpar ukrain,dPhGU51DcrolUIMxbRm0InaHGA2XM,13,20,0
18,ecb member noyer open kind tool,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
19,euro anxieti wane bund top treasuri spain debt ralli,dPhGU51DcrolUIMxbRm0InaHGA2XM,13,20,0
20,noyer say stronger euro creat unwarr pressur economi,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
21,bad loan trigger key featur ecb bank test announc sourc,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
22,china trade deficit structur worri europ among main issu,dPhGU51DcrolUIMxbRm0InaHGA2XM,13,20,0
23,thing need know morn,dPhGU51DcrolUIMxbRm0InaHGA2XM,6,20,0
24,ecb noyer happi euro strength updat,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
25,eurozon bank sovereign exposur hit new high,dPhGU51DcrolUIMxbRm0InaHGA2XM,4,20,0
26,ecb reveal bad loan hurdl euro zone bank test,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
27,forex market eur usd retreat year high stronger euro seen,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
28,refil bad loan trigger key featur ecb bank test announc sourc,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
29,updat ecb reveal bad loan hurdl euro zone bank test sourc,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
30,ecb reveal bad loan hurdl euro zone bank test sourc,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
31,ecb requir tougher call bad loan definit,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
32,ecb reveal bad loan hurdl bank test,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
33,thing need know open bell,dPhGU51DcrolUIMxbRm0InaHGA2XM,6,20,0
34,central bank must contain threat low price ecb noyer,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
35,updat central bank must contain threat low price noyer,dPhGU51DcrolUIMxbRm0InaHGA2XM,20,20,1
